make,vehicleModel,manufacturedYear,registeredYear,mileage,numberOfPreviousOwners,exteriorColor,fuelType,condition,transmission,bodyType,engineCapacity,value
Toyota,prius,2012,2017,165000,3,white,Hybrid,used,Automatic,sedan,1800,9250000
Toyota,Prius,2014,2017,95925,2,white,Hybrid,used,Automatic,Hatchback,1800,10475000
Toyota,Prius,2012,2017,190000,2,White,Hybrid,used,Automatic,Saloon,1500,9500000
Toyota,Prius,2008,2011,277000,3,Gray,Hybrid,used,Automatic,Saloon,1500,5695000
Toyota,prius,2013,2014,210000,2,Black,Hybrid,used,Automatic,Hatchback,1800,8825000
Toyota,prius,2009,2010,178500,2,white,Hybrid,used,other transmission,saloon,1800,7975000
Toyota,prius,2008,2015,146000,2,Gray,Petrol,used,Automatic,Saloon,1500,6285000
Toyota,prius,2012,2014,120000,1,Blue,Hybrid,used,Automatic,Hatchback,1790,8900000
Toyota,prius,2013,2015,126000,3,Black,Petrol,used,Automatic,Hatchback,1800,9395000
Toyota,prius,2010,2011,148000,3,Light Blue,Hybrid,used,Automatic,Hatchback,1800,7500000
Toyota,prius,2016,2017,120000,2,white,Hybrid,used,Automatic,Saloon,1500,14500000
Toyota,prius,2008,2009,114000,2,Black,Petrol,used,Automatic,Saloon,1500,6400000
Toyota,prius,2012,2013,120000,3,Light Blue,Hybrid,used,Automatic,Hatchback,1800,8850000
Toyota,prius,2012,2013,80000,2,white,Hybrid,used,Automatic,Saloon,1790,8390000
Toyota,prius,2009,2010,124500,2,Red,Hybrid,used,Automatic,Saloon,1800,7950000
Toyota,prius,2013,2014,104746,3,white,Hybrid,used,Automatic,Saloon,1790,10350000
Toyota,prius,2012,2013,126342,2,Black,Hybrid,used,Automatic,Saloon,1700,8250000
Toyota,prius,2013,2014,113000,2,Black,Hybrid,used,Automatic,Saloon,1800,9250000
Toyota,prius,2014,2014,105000,2,Gray,Hybrid,used,Automatic,Saloon,1800,9100000
Toyota,prius,2012,2014,122433,2,white,Hybrid,used,Automatic,Hatchback,1790,8990000
Toyota,prius,2009,2010,136000,1,Gray,Petrol,used,Automatic,Saloon,1790,7585000
Toyota,prius,2011,2013,176800,2,Red,Hybrid,used,Automatic,Saloon,1500,6190000
Toyota,prius,2012,2013,96000,1,Pearl White,Hybrid,used,Automatic,Saloon,1800,8790000
Toyota,prius,2011,2012,284000,3,Gray,Petrol,used,Automatic,Saloon,1500,5850000
Toyota,prius,2008,2009,117600,2,white,Petrol,used,Automatic,Saloon,1500,5900000
Toyota,prius,2013,2014,145821,2,white,Hybrid,used,Automatic,Saloon,1700,10450000
Toyota,prius,2011,2012,106000,2,Blue,Hybrid,used,Automatic,Hatchback,1700,7975000
Toyota,prius,2010,2011,186000,3,Blue,Hybrid,used,Automatic,Hatchback,1800,7500000
Toyota,prius,2011,2012,157000,2,Gray,Hybrid,used,Automatic,Saloon,1500,6495000
Toyota,prius,2015,2015,138000,2,Black,Hybrid,used,Automatic,Saloon,1500,8475000
Toyota,prius,2013,2016,99800,1,Gray,Hybrid,used,Automatic,Saloon,1800,9400000
Toyota,prius,2013,2014,95000,2,Black,Hybrid,used,Automatic,Saloon,1800,10000000
Toyota,prius,2011,2013,166000,3,Black,Hybrid,used,Automatic,Saloon,1800,8250000
Toyota,prius,2013,2014,91555,3,Black,Hybrid,used,Automatic,Saloon,1800,8950000
Toyota,prius,2012,2013,180000,3,white,Hybrid,used,Automatic,Saloon,1500,8950000
Toyota,prius,2016,2016,93000,1,Red,Hybrid,used,Automatic,Hatchback,1800,15500000
Toyota,prius,2016,2017,120000,2,white,Hybrid,used,Automatic,Saloon,1500,14500000
Toyota,prius,2012,2013,160000,2,Gray,Petrol,used,Automatic,Saloon,1800,8175000
Toyota,prius,2012,2013,192000,2,Gray,Hybrid,used,Automatic,Saloon,1800,8300000
Toyota,prius,2017,2018,62493,1,Black,Petrol,used,Automatic,Saloon,2000,18500000
Toyota,prius,2008,2009,160000,1,Gray,Petrol,used,Automatic,Saloon,1490,5850000
Toyota,prius,2014,2014,94600,1,Red,Petrol,used,Automatic,Hatchback,1800,9900000
Toyota,prius,2012,2013,167000,1,Light Blue,Petrol,used,Automatic,Saloon,1800,8200000
Toyota,prius,2013,2015,150000,2,white,Petrol,used,Automatic,Saloon,1790,10500000
Toyota,prius,2007,2008,140000,2,Gray,Petrol,used,Automatic,Saloon,1490,6000000
Toyota,prius,2009,2012,176500,2,Black,Hybrid,used,Automatic,Hatchback,1800,7975000
Toyota,prius,2011,2012,100800,2,Gray,Petrol,used,Automatic,Saloon,1500,5700000
Toyota,prius,2013,2014,140000,2,Red,Hybrid,used,Automatic,Saloon,1790,9300000
Toyota,prius,2008,2009,109982,3,Black,Petrol,used,Automatic,Saloon,1500,5750000
Toyota,prius,2008,2010,119506,3,white,Petrol,used,Automatic,Saloon,1500,5885000
Toyota,prius,2009,2010,195000,3,Light Blue,Petrol,used,Automatic,Saloon,1350,6950000
Toyota,prius,2010,2011,148000,2,Black,Hybrid,used,Automatic,Saloon,1800,7050000
Toyota,prius,2012,2014,95000,1,white,Hybrid,used,Automatic,Hatchback,1800,9750000
Toyota,prius,2010,2012,123000,2,Black,Petrol,used,Automatic,Saloon,1800,7775000
Toyota,prius,2013,2014,142765,3,Gray,Hybrid,used,Automatic,Hatchback,1800,8575000
Toyota,prius,2008,2010,117000,3,Pearl White,Hybrid,used,Automatic,Hatchback,1500,5790000
Toyota,prius,2008,2009,120000,2,white,Hybrid,used,Automatic,Saloon,1500,4950000
Toyota,prius,2007,2009,128000,3,white,Hybrid,used,Automatic,Hatchback,1500,5650000
Toyota,prius,2013,2014,110000,2,Black,Hybrid,used,Automatic,Saloon,1790,8790000
Toyota,prius,2013,2015,150000,3,Pearl White,Hybrid,used,Automatic,Saloon,1800,9790000
Toyota,prius,2012,2014,141250,2,Red,Hybrid,used,Automatic,Saloon,1800,8450000
Toyota,prius,2013,2014,107000,3,Gray,Hybrid,used,Automatic,Saloon,1800,9450000
Toyota,prius,2016,2016,86700,1,Pearl White,Hybrid,used,Automatic,Hatchback,1800,14895000
Toyota,prius,2012,2013,80000,1,white,Hybrid,used,Automatic,Hatchback,1791,8390000
Toyota,prius,2007,2011,173000,3,Pearl White,Hybrid,used,Automatic,Saloon,1490,5950000
Toyota,prius,2013,2014,126000,2,Black,Petrol,used,Automatic,Hatchback,1800,9395000
Toyota,prius,2013,2014,142000,2,Gray,Hybrid,used,Automatic,Hatchback,1800,835000
Toyota,prius,2010,2011,145000,2,Gray,Hybrid,used,Automatic,Saloon,1800,7450000
Toyota,prius,2013,2016,103000,2,Pearl White,Hybrid,used,Automatic,Hatchback,1800,9750000
Toyota,prius,2013,2015,114000,2,Red,Hybrid,used,Automatic,Hatchback,1800,8975000
Toyota,prius,2006,2015,221000,3,Blue,Hybrid,used,Automatic,Saloon,1800,5450000
Toyota,prius,2012,2014,174000,2,Black,Hybrid,used,Automatic,Saloon,1800,7595000
Toyota,prius,2008,2011,166000,2,Light Blue,Hybrid,used,Automatic,Hatchback,1500,7850000
Toyota,prius,2011,2013,163000,2,Red,Hybrid,used,Automatic,Hatchback,1800,7695000
Toyota,prius,2011,2012,175000,2,Pearl White,Petrol,used,Automatic,Saloon,1800,7665000
Toyota,prius,2013,2015,127500,2,Light Blue,Hybrid,used,Automatic,Saloon,1790,9000000
Toyota,prius,2011,2013,156000,3,Gray,Hybrid,used,Automatic,Saloon,1500,6495000
Toyota,prius,2013,2014,171000,2,Black,Hybrid,used,Automatic,Hatchback,1800,8450000
Toyota,prius,2016,2017,132000,2,white,Hybrid,used,Automatic,Hatchback,1790,12200000
Toyota,prius,2008,2009,150000,2,Gray,Hybrid,used,Automatic,Saloon,1500,5300000
Toyota,prius,2009,2012,120000,2,Blue,Hybrid,used,Automatic,Saloon,1800,7150000
Toyota,prius,2011,2013,157000,3,Gray,Hybrid,used,Automatic,Saloon,1500,6390000
Toyota,prius,2013,2014,132000,2,Black,Hybrid,used,Automatic,Hatchback,1800,8390000
Toyota,prius,2013,2014,105000,1,white,Petrol,used,Automatic,Saloon,1800,9250000
Toyota,prius,2008,2010,277000,3,Gray,Petrol,used,Automatic,Saloon,1500,5695000
Toyota,prius,2013,2014,119000,2,Pearl White,Hybrid,used,Automatic,Hatchback,1800,9475000
Toyota,prius,2011,2012,120000,2,white,Hybrid,used,Automatic,Hatchback,1800,7875000
Toyota,prius,2014,2015,128000,3,Pearl White,Hybrid,used,Automatic,Hatchback,1800,10300000
Toyota,prius,2013,2014,151000,2,silver,Hybrid,used,Automatic,Saloon,1800,8390000
Toyota,prius,2013,2014,132000,3,Black,Hybrid,used,Automatic,Saloon,1790,9250000
Toyota,prius,2011,2013,170000,3,Pearl White,Hybrid,used,Automatic,Saloon,1800,7950000
Toyota,prius,2012,2015,143000,2,Light Blue,Hybrid,used,Automatic,Hatchback,1800,8650000
Toyota,prius,2013,2015,181000,3,Pearl White,Petrol,used,Automatic,Saloon,1800,10350000
Toyota,prius,2012,2014,115000,2,Pearl White,Hybrid,used,Automatic,Saloon,1800,8575000
Toyota,prius,2011,2013,215000,3,Blue,Petrol,used,Automatic,Saloon,1790,8155000
Toyota,prius,2012,2013,120000,2,Light Blue,Hybrid,used,Automatic,Hatchback,1790,8900000
Toyota,prius,2012,2014,133000,2,white,Petrol,used,Automatic,Saloon,1800,8530000
